1001,마서연,9812091234567 ,010-6892-3612,광주광역시 서구 풍암동,학생,5
1002,정가람,9411131265431 ,010-6092-6677,광주광역시 서구 풍암동,학생,5
1003,강하늘,9010171296295 ,010-6893-3670,광주광역시 서구 풍암동,학생,5
1004,한지민,8609211327159 ,010-2894-3647,부산광역시 중구 남포동,직장인,4
1005,정유미,8208251358023 ,010-6895-3688,제주특별자치시 제주시 애월읍,자영업,4
1006,김소연,7807291388887 ,010-4375-0812,서울특별시 중구 명동,직장인,3
1007,김혜수,7406131419751 ,010-4689-2310,서울특별시 중구 명동,직장인,3
1008,조승우,7005171450615 ,010-5003-3808,부산광역시 중구 남포동,직장인,3
1009,홍길동,6604011481479 ,010-5317-5306,강릉시 주문진읍,군인,5
1010,강호동,6203251512343 ,010-5631-6804,부산광역시 중구 남포동,자영업,3
1011,김소현,9912119834563 ,010-5945-8302,서울특별시 중구 명동,학생,3
1012,이제훈,8808181234987 ,010-6259-9800,서울특별시 송파구 잠실동,직장인,4
1013,유재석,7704242635411 ,010-6574-1298,강릉시 주문진읍,직장인,2
1014,신승훈,6601304035835 ,010-6888-2796,강릉시 주문진읍,직장인,4
1015,김이박,5406065436259 ,010-7202-4294,부산광역시 중구 남포동,자영업,5
1016,김연아,6803303234667 ,010-7516-5792,서울특별시 송파구 잠실동,자영업,1
1017,한효주,8110241033075 ,010-7830-7290,서울특별시 송파구 잠실동,직장인,4
1018,옹성우,9401178831483 ,010-8144-8788,서울특별시 송파구 잠실동,학생,5
1019,정찬우,9802244350561 ,010-8459-0286,제주특별자치시 제주시 애월읍,학생,5
1020,배두나,7812246754562 ,010-8773-1784,부산광역시 중구 남포동,직장인,1
