35600119988 ,1001 ,5461218428711210 ,silver,2015-02-01,2020-02-01,5
35600119990 ,1002 ,5461218428821310 ,silver,2015-03-01,2020-03-01,5
35600119992 ,1003 ,5461218428931410 ,silver,2015-04-01,2020-04-01,5
35600119994 ,1004 ,5461218429041510 ,silver,2015-05-01,2020-05-01,4
35600119996 ,1005 ,5461218429151610 ,silver,2015-06-01,2020-06-01,4
35600119998 ,1006 ,5461218429261710 ,gold,2015-07-01,2020-07-01,3
35600120000 ,1007 ,5461218429371810 ,gold,2016-07-01,2021-07-01,3
35600120002 ,1008 ,5461218429592010 ,gold,2016-08-01,2021-08-01,3
35600120004 ,1009 ,5461218429702110 ,silver,2016-09-01,2021-09-01,5
35600120006 ,1010 ,5461218429812210 ,gold,2016-11-01,2021-11-01,3
35600120008 ,1011 ,5461218429922310 ,gold,2017-01-01,2022-01-01,3
35600120010 ,1012 ,5461218430032410 ,silver,2017-03-01,2022-03-01,4
35600120012 ,1013 ,5461218430142510 ,gold,2017-05-01,2022-05-01,2
35600120014 ,1014 ,5461218430362710 ,silver,2018-05-01,2023-05-01,4
35600120016 ,1015 ,5461218430472810 ,silver,2019-09-01,2024-09-01,5
35600120018 ,1016 ,5461218430582910 ,vip,2019-11-01,2024-11-01,1
35600120026 ,1020 ,5461218431023310 ,vip,2019-12-01,2024-12-01,1
